DICTIONARY_NUMBER,halpern_kkld_2ed,-,-,2683,,
DICTIONARY_NUMBER,heisig,-,-,1193,,
DICTIONARY_NUMBER,heisig6,-,-,1277,,
DICTIONARY_NUMBER,gakken,-,-,349,,
DICTIONARY_NUMBER,oneill_names,-,-,1242,,
DICTIONARY_NUMBER,oneill_kk,-,-,461,,
DICTIONARY_NUMBER,moro,4,0440,8926,,
DICTIONARY_NUMBER,henshall,-,-,520,,
DICTIONARY_NUMBER,sh_kk,-,-,379,,
DICTIONARY_NUMBER,sh_kk2,-,-,380,,
DICTIONARY_NUMBER,sakade,-,-,444,,
DICTIONARY_NUMBER,jf_cards,-,-,497,,
DICTIONARY_NUMBER,henshall3,-,-,549,,
DICTIONARY_NUMBER,tutt_cards,-,-,549,,
DICTIONARY_NUMBER,kanji_in_context,-,-,332,,
DICTIONARY_NUMBER,busy_people,-,-,3.6,,
DICTIONARY_NUMBER,kodansha_compact,-,-,564,,
DICTIONARY_NUMBER,maniette,-,-,1201,,
QUERY_CODE,skip,-,3-3-7,,,
QUERY_CODE,sh_desc,-,3q7.4,,,
QUERY_CODE,four_corner,-,0022.7,,,
QUERY_CODE,deroo,-,544,,,
QUERY_CODE,skip,stroke_count,3-3-6,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,セキ,むしろ,,,,
READING_MEANING_MEANING_ENG,"seat
mat
occasion
place",,,,,
READING_MEANING_MEANING_POL,"siedzenie
miejsce
mata
okazja
sposobność",,,,,
END,席,,,,,
,,,,,,
,,,,,,
BEGIN,叝,9921,,,,
CODE_POINT,ucs,53dd,,,,
CODE_POINT,jis212,1-20-62,,,,
RADICAL,classical,29,,,,
MISC,-,9,,-,,-
MISC2,,false,,,,
DICTIONARY_NUMBER,moro,-,-,3170,,
QUERY_CODE,skip,-,1-5-4,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,コウ,,,,,
READING_MEANING_MEANING_ENG,to respectfully inform,,,,,
READING_MEANING_MEANING_POL,"informowanie z szacunkiem
powiadamianie z szacunkiem",,,,,
END,叝,,,,,
,,,,,,
,,,,,,
BEGIN,鈩,4308,,,,
CODE_POINT,ucs,9229,,,,
CODE_POINT,jis208,1-79-47,,,,
RADICAL,classical,167,,,,
MISC,-,12,jis208|1-79-46,-,,-
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,4822,,
DICTIONARY_NUMBER,nelson_n,-,-,6228,,
QUERY_CODE,skip,-,1-8-4,,,
QUERY_CODE,sh_desc,-,8a16.1,,,
QUERY_CODE,four_corner,-,8312.7,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,ロ,いろり,,,,
READING_MEANING_MEANING_ENG,"hearth
fireplace
furnace",,,,,
READING_MEANING_MEANING_POL,"kominek
palenisko
piec",,,,,
END,鈩,,,,,
,,,,,,
,,,,,,
BEGIN,宥,2859,,,,
CODE_POINT,ucs,5ba5,,,,
CODE_POINT,jis208,1-45-08,,,,
RADICAL,classical,40,,,,
MISC,9,9,,-,,1
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,1299,,
DICTIONARY_NUMBER,nelson_n,-,-,1326,,
DICTIONARY_NUMBER,halpern_kkd,-,-,2803,,
DICTIONARY_NUMBER,halpern_kkld,-,-,1443,,
DICTIONARY_NUMBER,halpern_kkld_2ed,-,-,1944,,
DICTIONARY_NUMBER,heisig,-,-,2210,,
DICTIONARY_NUMBER,heisig6,-,-,2322,,
DICTIONARY_NUMBER,oneill_names,-,-,918,,
DICTIONARY_NUMBER,moro,3,1003,7137,,
DICTIONARY_NUMBER,sh_kk,-,-,2051,,
QUERY_CODE,skip,-,2-3-6,,,
QUERY_CODE,sh_desc,-,3m6.1,,,
QUERY_CODE,four_corner,-,3022.7,,,
READING_MEANING_NANONI,,,,,,
READING_MEANING_READING,ユウ,"なだ.める
ゆる.す",,,,
READING_MEANING_MEANING_ENG,"soothe
calm
pacify",,,,,
READING_MEANING_MEANING_POL,"spokój
uspokajanie
łagodzenie
ukojenie",,,,,
END,宥,,,,,
,,,,,,
,,,,,,
BEGIN,貢,1673,,,,
CODE_POINT,ucs,8ca2,,,,
CODE_POINT,jis208,1-25-55,,,,
RADICAL,classical,154,,,,
RADICAL,nelson_c,48,,,,
MISC,8,10,,956,,1
MISC2,,true,,,,
DICTIONARY_NUMBER,nelson_c,-,-,1458,,
DICTIONARY_NUMBER,nelson_n,-,-,5772,,
DICTIONARY_NUMBER,halpern_njecd,-,-,2281,,
DICTIONARY_NUMBER,halpern_kkd,-,-,2838,,
DICTIONARY_NUMBER,halpern_kkld,-,-,1463,,
DICTIONARY_NUMBER,halpern_kkld_2ed,-,-,1970,,
DICTIONARY_NUMBER,heisig,-,-,81,,
DICTIONARY_NUMBER,heisig6,-,-,85,,
DICTIONARY_NUMBER,gakken,-,-,1572,,
DICTIONARY_NUMBER,oneill_names,-,-,1166,,
