206,1,趵,-,odgłos stóp,
207,1,趷,-,"trząść
wstrząsać",
208,1,赬,-,głęboka czerwień,
209,1,赱,-,"iść na stopach
opuszczać
biec
spacer
chód",
210,1,赿,-,"opieszały
powolny
przytępiony
głupi
opóźniać
zwlekać",
211,1,贃,-,"zarabiać
osiągać zysk",
212,1,贁,-,"korumpować albo być korumpowanym
psuć albo być psutym
porażka
klęska
pokonać",
213,1,贉,-,zadatek,
214,1,贍,-,"dodawać do
mieć dość (czegoś)",
215,1,贓,-,"przekupstwo
łapownictwo
korupcja",
216,1,贒,-,"zdolny
mądry
umiejętny
uzdolniony
dobry
cnotliwy
prawy
moralny
godny
zacny",
217,1,贗,-,"podrobiony
fałszywy
fałsz
nieprawda",
218,1,贛,-,prowincja Jiangxi,
219,1,賝,-,"poprzedni
uprzedni
dotychczasowy
wcześniejszy",
220,1,賙,-,"dawać jałmużnę
składać datek",
221,1,賕,-,łapówka,
222,1,賍,-,"przekupstwo
łapownictwo
korupcja",
223,1,賏,-,perły lub muszle nawleczone razem,
224,1,賉,-,dawać jałmużnę,
225,1,賅,-,"włącznie
łącznie
obejmujący
przygotowany na
gotowy na",
226,1,賾,-,"zawiły
niejasny
głęboki",
227,1,賻,-,kondolencyjny prezent,
228,1,賸,-,"pozostałość
reszta",
229,1,賬,-,"konto
rachunek
kredyt
dług",
230,1,賨,-,"składanie hołdu poprzez podarowanie tkaniny
Yunnan podczas dynastii Han",
231,1,賡,-,"kontynuować
trwać",
232,1,貓,-,kot,
233,1,貊,-,"barbarzyńca
dzikus
dzicz",
234,1,貎,-,"lew
dzikie zwierze
dziki koń",
235,1,貆,-,"jeżozwierz
mały borsuk
mały jaźwiec",
236,1,貺,-,"darzyć
obdarzyć
dać
przyznawać
udzielić
przyznać
nazwisko",
237,1,貭,-,"materiał
substancja",
238,1,貤,-,"stopień
klasa
kroki
seria
szereg",
239,1,豔,-,"piękny
wspaniały
śliczny
przepiękny
pulchny
tłusty
zaokrąglony
zmysłowy
lubieżny",
240,1,豗,-,"krzyk
wrzask
hałas",
241,1,豓,-,"piękny
wspaniały
śliczny
przepiękny
pulchny
tłusty
zaokrąglony
zmysłowy
lubieżny
zniewalający",
242,1,豝,-,"locha
maciora",
243,1,豘,-,mała świnia,
