77,WORD_SUFFIX,,HIRAGANA,Genki 1-1,,-,さん,,san,"Pan (język poufały; honoryfikatywnie; po nazwisku osoby (stanowisku itp.))
Pani (język poufały; honoryfikatywnie; po nazwisku osoby (stanowisku itp.))
Panna (język poufały; honoryfikatywnie; po nazwisku osoby (stanowisku itp.))
-san (język poufały; honoryfikatywnie; po nazwisku osoby (stanowisku itp.))
znacznik grzeczności (wyjaśnienie; uprzejmie; robienie słów bardziej uprzejmych, zwykle po rzeczowniku lub czasami na-przymiotniku)",,DICTIONARY2_SOURCE,"DUPLICATE 4
DUPLICATE 4754
DUPLICATE 6341
DUPLICATE 8019
DUPLICATE 9631
DUPLICATE 27673
DUPLICATE 29116
DUPLICATE 34438
DUPLICATE 34439
DUPLICATE 60706
DUPLICATE 78844
DUPLICATE 80518
DUPLICATE 88929
DUPLICATE 89246
DUPLICATE 175676
DUPLICATE 188886",GroupId: 1005340
78,"WORD_ADJECTIVE_NO
WORD_SUFFIX",,HIRAGANA,Genki 1-1,,時,じ,,ji,"godzina
(określony) czas
kiedy ...
gdy ...
w czasie ...
podczas ...",,DICTIONARY2_SOURCE,"DUPLICATE 357
DUPLICATE 61645
DUPLICATE 210188",GroupId: 2020680
79,WORD_SUFFIX,,HIRAGANA,Genki 1-1,,人,じん,,jin,"... człowiek (wskazuje na narodowość, rasę, pochodzenie itp.)
wskazuje na osobę z wiedzą specjalistyczną w określonej dziedzinie
człowiek (zwykle w złożeniach)
osoba (zwykle w złożeniach)
ludzie (zwykle w złożeniach)",,DICTIONARY2_SOURCE,"DUPLICATE 286
DUPLICATE 601
DUPLICATE 66323",GroupId: 1366410
80,"WORD_NOUN
WORD_NOUN_SUFFIX",,HIRAGANA,"Genki 1-1
Genki kanji 1-6",,先生,せんせい,,sensei,"nauczyciel
nauczycielka
instruktor
mistrz
sensei (honoryfikatywnie)
słowo honoryfikatywne stojące przy nazwisku lub forma adresowania do np. nauczyciela, mistrza, lekarza, prawnika i etc (wyjaśnienie; honoryfikatywnie)
zażyła lub złośliwa forma zwracania się do kogoś (wyjaśnienie; język poufały; żartobliwie)
ktoś starszy (archaizm; pierwotne znaczenie)",,DICTIONARY2_SOURCE,"DUPLICATE 48137
DUPLICATE 68940
DUPLICATE 193127
DUPLICATE 193128",GroupId: 1387990
81,WORD_NOUN,,HIRAGANA,Genki 1-1,,専門,せんもん,,senmon,"specjalizacja
specjalność
przedmiot badań
dziedzina wiedzy
pojedyncze zamiłowanie
pojedyncze skupienie
koncentrowanie się wyłącznie na
robienie wyłącznie",,DICTIONARY2_SOURCE,,GroupId: 1389880
82,WORD_EXPRESSION,,HIRAGANA,"Genki 1-1
Genki 1-3",,-,そうですね,,sou desu ne,to prawda,,DICTIONARY2_SOURCE,,GroupId: 2008670
83,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-6",,大学,だいがく,,daigaku,"uniwersytet
uczelnia
akademia
szkoła wyższa
dawny cesarski uniwersytet japoński (skrót; termin historyczny; założony w systemie ritsuryō w celu kształcenia administratorów rządowych)
Wielka Nauka (jedna z ksiąg wchodzących w skład Czteroksięgu konfucjańskiego)",,DICTIONARY2_SOURCE,,GroupId: 1413240
84,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-8
Genki kanji 1-9",,電話,でんわ,,denwa,"rozmowa telefoniczna
telefon (skrót)",,DICTIONARY2_SOURCE,,GroupId: 1443840
85,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-9",,友達,ともだち,,tomodachi,"przyjaciel
kolega
towarzysz",,DICTIONARY2_SOURCE,DUPLICATE 297391,GroupId: 1540170
86,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-9",,名前,なまえ,,namae,"nazwa
imię",,DICTIONARY2_SOURCE,,GroupId: 1531710
87,"WORD_PRONOUN
WORD_PREFIX",,HIRAGANA,"Genki 1-1
Genki kanji 1-8",,何,なん,,nan,"co
ile (przed klasyfikatorem)
jak wiele (przed klasyfikatorem)
dużo (przed klasyfikatorem + も)
wiele (przed klasyfikatorem + も)
kilka (przed klasyfikatorem + か)
parę (przed klasyfikatorem + か)",,DICTIONARY2_SOURCE,DUPLICATE 24765,GroupId: 2846738
88,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-4",,日本,にほん,,nihon,Japonia,,DICTIONARY2_SOURCE,DUPLICATE 26017,GroupId: 1582710
89,WORD_SUFFIX,,HIRAGANA,Genki 1-1,,年生,ねんせい,,nensei,"... uczeń roku
... student roku",,DICTIONARY2_SOURCE,,GroupId: 1468900
90,WORD_INTERJECTION,,HIRAGANA,"Genki 1-1
Zwroty grzecznościowe",,-,はい,,hai,"tak (uprzejmie)
to prawda (uprzejmie)
zrozumiałem
ok
obecny (jako odpowiedź na wyczytywanie listy)
tutaj (jako odpowiedź na wyczytywanie listy)
??? (potocznie; ze wnoszącą intonacją)
teraz (używane podczas zwracania się do kogoś lub przekazywania komuś czegoś)
tutaj (używane podczas zwracania się do kogoś lub przekazywania komuś czegoś)
proszę (używane podczas zwracania się do kogoś lub przekazywania komuś czegoś)
wio (do konia)",,DICTIONARY2_SOURCE,"DUPLICATE 929
DUPLICATE 4094
DUPLICATE 5678
DUPLICATE 6128
DUPLICATE 7940
DUPLICATE 28272
DUPLICATE 66413
DUPLICATE 69857
DUPLICATE 73188
DUPLICATE 73283
DUPLICATE 81972
DUPLICATE 82838
DUPLICATE 84962
DUPLICATE 84965
DUPLICATE 85293
DUPLICATE 323755",GroupId: 1010080
91,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 2-22",,番号,ばんごう,,bangou,"numer
ciąg liczb",,DICTIONARY2_SOURCE,,GroupId: 1482290
92,WORD_NOUN,,HIRAGANA,"Genki 1-1
Genki kanji 2-14",,留学生,りゅうがくせい,,ryuugakusei,"student zagraniczny
student międzynarodowy
student z wymiany",,DICTIONARY2_SOURCE,,GroupId: 1552750
93,WORD_PRONOUN,,HIRAGANA,"Genki 1-1
Genki kanji 1-5",,私,わたし,,watashi,"ja
mnie",lekko formalnie lub kobieco,DICTIONARY2_SOURCE,"DUPLICATE 994
DUPLICATE 17942
DUPLICATE 32784
DUPLICATE 32785
DUPLICATE 32786
DUPLICATE 50799
DUPLICATE 51736
DUPLICATE 53211
DUPLICATE 61647
DUPLICATE 61779
DUPLICATE 61780
DUPLICATE 61781
DUPLICATE 65897
DUPLICATE 65973
DUPLICATE 279537
DUPLICATE 289950
DUPLICATE 309685
DUPLICATE 317928
DUPLICATE 319859",GroupId: 1311110
94,WORD_NOUN,,KATAKANA,Genki 1-1,,亜米利加,アメリカ,,amerika,"Ameryka (skrót)
Stany Zjednoczone Ameryki (skrót)
US (skrót)
USA (skrót)
Ameryka (kontynent)",pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,,GroupId: 1149830
95,WORD_NOUN,,KATAKANA,Genki 1-1,,英吉利,イギリス,,igirisu,"Zjednoczone Królestwo
Brytania
Wielka Brytania
Anglia (potocznie)",pisanie zwykle z użyciem kana; por: inglês,DICTIONARY2_SOURCE,,GroupId: 1021160
96,WORD_NOUN,,KATAKANA,"Genki 1-1
Genki 1-11",,濠太剌利,オーストラリア,,oosutoraria,Australia,pisanie zwykle z użyciem kana,DICTIONARY2_SOURCE,,GroupId: 1031680
