75,聞,"słyszeć
słuchać
pytać
posłuchać",,"Genki kanji 1-8
Jōyō 2",true,"Kanji: 聞
Meaning: hear
Meaning: ask
Meaning: listen"
76,作,"tworzenie
robienie
produkowanie
przygotowywanie
budowanie",,"Genki kanji 1-8
Jōyō 2",true,"Kanji: 作
Meaning: make
Meaning: production
Meaning: prepare
Meaning: build"
77,仕,"służenie
serwowanie
obsługiwanie
wykonywanie
robienie
urzędnik
oficjał",,"Genki kanji 1-8
Jōyō 3",true,"Kanji: 仕
Meaning: attend
Meaning: doing
Meaning: official
Meaning: serve"
78,事,"sprawa
kwestia
rzecz
przedmiot
fakt
powód
przyczyna
możliwie",,"Genki kanji 1-8
Jōyō 3",true,"Kanji: 事
Meaning: matter
Meaning: thing
Meaning: fact
Meaning: business
Meaning: reason
Meaning: possibly"
79,電,elektryczność,,"Genki kanji 1-8
Jōyō 2",true,"Kanji: 電
Meaning: electricity"
80,車,"samochód
pojazd",,"Genki kanji 1-8
Jōyō 1",true,"Kanji: 車
Meaning: car"
81,休,"odpoczynek
wypoczynek
dzień wolny
bycie nieobecnym
sen",,"Genki kanji 1-8
Jōyō 1",true,"Kanji: 休
Meaning: rest
Meaning: day off
Meaning: retire
Meaning: sleep"
82,言,"mówienie
słowo",,"Genki kanji 1-8
Jōyō 2",true,"Kanji: 言
Meaning: say
Meaning: word"
83,読,czytanie,,"Genki kanji 1-8
Jōyō 2",true,"Kanji: 読
Meaning: read"
84,思,"myślenie
sądzenie
uważanie",,"Genki kanji 1-8
Jōyō 2",true,"Kanji: 思
Meaning: think"
85,次,"następny
następować
kolejny
kolejność
porządek
sekwencja",,"Genki kanji 1-8
Jōyō 3",true,"Kanji: 次
Meaning: next
Meaning: order
Meaning: sequence"
86,何,"co
ile",,"Genki kanji 1-8
Jōyō 2",true,"Kanji: 何
Meaning: what"
87,午,"południe (czas)
znak konia
godzina 23-1
siódmy znak chińskiego zodiaku",,"Genki kanji 1-9
Jōyō 2",true,"Kanji: 午
Meaning: noon
Meaning: sign of the horse
Meaning: 11AM-1PM
Meaning: seventh sign of Chinese zodiac"
88,後,"za
po
z tyłu
później",,"Genki kanji 1-9
Jōyō 2",true,"Kanji: 後
Meaning: behind
Meaning: back
Meaning: later"
89,前,"przed
przód
poprzednio
przedtem",,"Genki kanji 1-9
Jōyō 2",true,"Kanji: 前
Meaning: in front
Meaning: before"
90,名,"imię
nazwa
notatka
zapisek
wyjątkowy
wybitny
dystyngowany
wytworny
renoma
reputacja
opinia",,"Genki kanji 1-9
Jōyō 1",true,"Kanji: 名
Meaning: name
Meaning: noted
Meaning: distinguished
Meaning: reputation"
91,白,biały,,"Genki kanji 1-9
Jōyō 1",true,"Kanji: 白
Meaning: white"
92,雨,deszcz,,"Genki kanji 1-9
Jōyō 1",true,"Kanji: 雨
Meaning: rain"
93,書,pisanie,,"Genki kanji 1-9
Jōyō 2",true,"Kanji: 書
Meaning: write"
94,友,"przyjaciel
towarzysz
kolega",,"Genki kanji 1-9
Jōyō 2",true,"Kanji: 友
Meaning: friend"
95,間,"przerwa
odstęp
interwał
pomiędzy
przestrzeń",,"Genki kanji 1-9
Jōyō 2",true,"Kanji: 間
Meaning: interval
Meaning: space"
96,家,"dom
rodzina
profesjonalista
ekspert
wykonawca",,"Genki kanji 1-9
Jōyō 2",true,"Kanji: 家
Meaning: house
Meaning: home
Meaning: family
Meaning: professional
Meaning: expert
Meaning: performer"
97,話,"rozmowa
rozmawianie
opowieść",,"Genki kanji 1-9
Jōyō 2",true,"Kanji: 話
Meaning: tale
Meaning: talk"
98,少,"trochę
kilka
krótko
mało
niedużo",,"Genki kanji 1-9
Jōyō 2",true,"Kanji: 少
Meaning: few
Meaning: little"
99,古,"stary
starzenie się",o rzeczach,"Genki kanji 1-9
Jōyō 2",true,"Kanji: 古
Meaning: old"
100,知,"wiedza
znajomość
mądrość
rozsądek",,"Genki kanji 1-9
Jōyō 2",true,"Kanji: 知
Meaning: know
Meaning: wisdom"
101,来,"przybywanie
przychodzenie
nadchodzenie
przyczyna
powód
stawanie się",,"Genki kanji 1-9
Jōyō 2",true,"Kanji: 来
Meaning: come
Meaning: due
Meaning: next
Meaning: cause
Meaning: become"
102,住,"mieszkanie
zamieszkiwanie
rezydowanie
przebywanie
życie",,"Genki kanji 1-10
Jōyō 3",true,"Kanji: 住
Meaning: dwell
Meaning: reside
Meaning: live
Meaning: inhabit"
103,正,"poprawny
właściwy
słuszny
prawidłowy
sprawiedliwy
prawy
10**40",,"Genki kanji 1-10
Jōyō 1",true,"Kanji: 正
Meaning: correct
Meaning: justice
Meaning: righteous
Meaning: 10**40"
104,年,"rok
klasyfikator na lata",,"Genki kanji 1-10
Jōyō 1",true,"Kanji: 年
Meaning: year
Meaning: counter for years"
105,売,sprzedawanie,,"Genki kanji 1-10
Jōyō 2",true,"Kanji: 売
Meaning: sell"
106,買,kupowanie,,"Genki kanji 1-10
Jōyō 2",true,"Kanji: 買
Meaning: buy"
107,町,"miasto
wieś
wioska
przecznica
ulica",,"Genki kanji 1-10
Jōyō 1",true,"Kanji: 町
Meaning: town
Meaning: village
Meaning: block
Meaning: street"
108,長,"długi
lider
szef
przywódca
starszy
wyższy rangą",,"Genki kanji 1-10
Jōyō 2",true,"Kanji: 長
Meaning: long
Meaning: leader
Meaning: superior
Meaning: senior"
109,道,"droga
ulica
jezdnia
dzielnica
podróż
kurs
lekcja
morał
moralny
nauki
nauczanie",,"Genki kanji 1-10
Jōyō 2",true,"Kanji: 道
Meaning: road-way
Meaning: street
Meaning: district
Meaning: journey
Meaning: course
Meaning: moral
Meaning: teachings"
110,雪,śnieg,,"Genki kanji 1-10
Jōyō 2",true,"Kanji: 雪
Meaning: snow"
111,立,"stanie
wstawanie
powstawanie
stawanie
wznoszenie",,"Genki kanji 1-10
Jōyō 1",true,"Kanji: 立
Meaning: stand up
Meaning: rise
Meaning: set up
Meaning: erect"
112,自,"siebie
sam
osobiście",,"Genki kanji 1-10
Jōyō 2",true,"Kanji: 自
Meaning: oneself"
113,夜,"noc
wieczór",,"Genki kanji 1-10
Jōyō 2",true,"Kanji: 夜
Meaning: night
Meaning: evening"
114,朝,"rano
ranek
poranek
dynastia
rządy
panowanie
epoka
okres
Korea Północna",,"Genki kanji 1-10
Jōyō 2",true,"Kanji: 朝
Meaning: morning
Meaning: dynasty
Meaning: regime
Meaning: epoch
Meaning: period
Meaning: (North) Korea"
115,持,"trzymać
mieć
posiadać",,"Genki kanji 1-10
Jōyō 3",true,"Kanji: 持
Meaning: hold
Meaning: have"
116,手,"ręka
dłoń",,"Genki kanji 1-11
Jōyō 1",true,"Kanji: 手
Meaning: hand"
117,紙,papier,,"Genki kanji 1-11
Jōyō 2",true,"Kanji: 紙
Meaning: paper"
118,好,"czuły
delikatny
miły
przyjemny
lubienie czegoś",,"Genki kanji 1-11
Jōyō 4",true,"Kanji: 好
Meaning: fond
Meaning: pleasing
Meaning: like something"
119,近,"blisko
niedaleko
w pobliżu
bliski
wcześnie
pokrewny
równoznaczny",,"Genki kanji 1-11
Jōyō 2",true,"Kanji: 近
Meaning: near
Meaning: early
Meaning: akin
Meaning: tantamount"
120,明,"jasny
słoneczny
światło",,"Genki kanji 1-11
Jōyō 2",true,"Kanji: 明
Meaning: bright
Meaning: light"
121,病,"chory
chorowanie
zachorowanie",,"Genki kanji 1-11
Jōyō 3",true,"Kanji: 病
Meaning: ill
Meaning: sick"
122,院,"instytucja
świątynia
posiadłość
budynek
szkoła",,"Genki kanji 1-11
Jōyō 3",true,"Kanji: 院
Meaning: Inst.
Meaning: institution
Meaning: temple
Meaning: mansion
Meaning: school"
123,映,"odbicie
odbijanie
refleks
odblask
projekcja",,"Genki kanji 1-11
Jōyō 6",true,"Kanji: 映
Meaning: reflect
Meaning: reflection
Meaning: projection"
124,画,"pociągnięcie pędzlem
obrazek",,"Genki kanji 1-11
Jōyō 2",true,"Kanji: 画
Meaning: brush-stroke
Meaning: picture"
125,歌,"śpiew
piosenka
śpiewanie",,"Genki kanji 1-11
Jōyō 2",true,"Kanji: 歌
Meaning: song
Meaning: sing"
126,市,"rynek
targ
miasto
miasteczko",,"Genki kanji 1-11
Jōyō 2",true,"Kanji: 市
Meaning: market
Meaning: city
Meaning: town"
127,所,"miejsce
obszar",,"Genki kanji 1-11
Jōyō 3",true,"Kanji: 所
Meaning: place
Meaning: extent"
128,勉,"wysiłek
staranie
zachęcanie
mobilizowanie
pilny
staranny
sumienny
gorliwy",,"Genki kanji 1-11
Jōyō 3",true,"Kanji: 勉
Meaning: exertion
Meaning: endeavour
Meaning: encourage
Meaning: strive
Meaning: make effort
Meaning: diligent"
129,強,"silny
mocny",,"Genki kanji 1-11
Jōyō 2",true,"Kanji: 強
Meaning: strong"
130,有,"posiadać
mieć
istnieć
byt
wydarzyć się
zdarzyć się
około
w przybliżeniu",,"Genki kanji 1-11
Jōyō 3",true,"Kanji: 有
Meaning: possess
Meaning: have
Meaning: exist
Meaning: happen
Meaning: occur
Meaning: approx"
131,旅,"podróż
wycieczka
wyprawa",,"Genki kanji 1-11
Jōyō 3",true,"Kanji: 旅
Meaning: trip
Meaning: travel"
132,昔,"dawno temu
dawne czasy
starożytność
starodawny",,"Genki kanji 1-12
Jōyō 3",true,"Kanji: 昔
Meaning: once upon a time
Meaning: antiquity
Meaning: old times"
133,々,symbol powtórzenia,,Genki kanji 1-12,false,Kanji: 々
134,神,"bóg
bóstwo
bogowie
umysł
rozum
dusza",,"Genki kanji 1-12
Jōyō 3",true,"Kanji: 神
Meaning: gods
Meaning: mind
Meaning: soul"
135,早,"wczesny
szybki",,"Genki kanji 1-12
Jōyō 1",true,"Kanji: 早
Meaning: early
Meaning: fast"
136,起,"budzenie
obudzenie
wstawianie",,"Genki kanji 1-12
Jōyō 3",true,"Kanji: 起
Meaning: rouse
Meaning: wake up
Meaning: get up"
137,牛,krowa,,"Genki kanji 1-12
Jōyō 2",true,"Kanji: 牛
Meaning: cow"
138,使,"używanie
korzystanie
wysyłanie na misję
rozkaz
polecenie
posłaniec
kurier
wysłannik
ambasador
sprawa
cel",,"Genki kanji 1-12
Jōyō 3",true,"Kanji: 使
Meaning: use
Meaning: send on a mission
Meaning: order
Meaning: messenger
Meaning: envoy
Meaning: ambassador
Meaning: cause"
139,働,"praca
pracowanie
(kokuji)",,"Genki kanji 1-12
Jōyō 4",true,"Kanji: 働
Meaning: work
Meaning: (kokuji)"
